,Season,Player,Club,Goals,Games,Ratio
0,1929,Paco Bienzobas,Real Sociedad,14,18,0.778
1,1929–30,Guillermo Gorostiza,Athletic Bilbao,19,18,1.056
2,1930–31,Bata,Athletic Bilbao,27,17,1.588
3,1931–32,Guillermo Gorostiza ,Athletic Bilbao,12,15,0.8
4,1932–33,Manuel Olivares,Real Madrid,16,14,1.143
5,1933–34,Isidro Lángara,Real Oviedo,27,18,1.5
6,1934–35,Isidro Lángara ,Real Oviedo,26,22,1.182
7,1935–36,Isidro Lángara ,Real Oviedo,28,21,1.333
8,1939–40,Víctor Unamuno,Athletic Bilbao,20,22,0.909
9,1940–41,Pruden,Atlético Madrid,30,22,1.364
10,1941–42,Mundo,Valencia,27,25,1.08
11,1942–43,Mariano Martín,Barcelona,32,23,1.391
12,1943–44,Mundo ,Valencia,27,26,1.038
13,1944–45,Telmo Zarra,Athletic Bilbao,19,26,0.731
14,1945–46,Telmo Zarra ,Athletic Bilbao,24,18,1.333
15,1946–47,Telmo Zarra ,Athletic Bilbao,34,24,1.417
16,1947–48,Pahiño,Celta Vigo,23,22,1.045
17,1948–49,César,Barcelona,28,24,1.167
18,1949–50,Telmo Zarra ,Athletic Bilbao,25,26,0.962
19,1950–51,Telmo Zarra ,Athletic Bilbao,38,30,1.267
20,1951–52,Pahiño ,Real Madrid,28,27,1.037
21,1952–53,Telmo Zarra ,Athletic Bilbao,24,29,0.828
22,1953–54,Alfredo Di Stéfano,Real Madrid,27,28,0.964
23,1954–55,Juan Arza,Sevilla,28,29,0.966
24,1955–56,Alfredo Di Stéfano ,Real Madrid,24,30,0.8
25,1956–57,Alfredo Di Stéfano ,Real Madrid,31,30,1.033
26,1957–58,Manuel Badenes,Real Valladolid,19,29,0.655
27,1957–58,Ricardo Alós,Valencia,19,29,0.655
28,1957–58,Alfredo Di Stéfano ,Real Madrid,19,30,0.633
29,1958–59,Alfredo Di Stéfano ,Real Madrid,23,28,0.821
30,1959–60,Ferenc Puskás,Real Madrid,26,24,1.083
31,1960–61,Ferenc Puskás ,Real Madrid,27,28,0.964
32,1961–62,Juan Seminario,Real Zaragoza,25,30,0.833
33,1962–63,Ferenc Puskás ,Real Madrid,26,30,0.867
34,1963–64,Ferenc Puskás ,Real Madrid,20,25,0.8
35,1964–65,Cayetano Ré,Barcelona,25,30,0.833
36,1965–66,Vavá II,Elche,19,30,0.633
37,1966–67,Waldo,Valencia,24,30,0.8
38,1967–68,Fidel Uriarte,Athletic Bilbao,22,24,0.917
39,1968–69,Amancio,Real Madrid,14,29,0.483
40,1968–69,José Eulogio Gárate,Atlético Madrid,14,30,0.467
41,1969–70,Amancio ,Real Madrid,16,29,0.552
42,1969–70,Luis Aragonés,Atlético Madrid,16,30,0.533
43,1969–70,José Eulogio Gárate ,Atlético Madrid,16,30,0.533
44,1970–71,José Eulogio Gárate ,Atlético Madrid,17,28,0.607
45,1970–71,Carles Rexach,Barcelona,17,28,0.607
46,1971–72,Enrique Porta,Granada,20,31,0.645
47,1972–73,Marianín,Real Oviedo,19,32,0.594
48,1973–74,Quini,Sporting Gijón,20,34,0.588
49,1974–75,Carlos,Athletic Bilbao,19,32,0.594
50,1975–76,Quini ,Sporting Gijón,18,34,0.529
51,1976–77,Mario Kempes,Valencia,24,34,0.706
52,1977–78,Mario Kempes ,Valencia,28,34,0.824
53,1978–79,Hans Krankl,Barcelona,29,30,0.967
54,1979–80,Quini ,Sporting Gijón,24,34,0.706
55,1980–81,Quini ,Barcelona,20,30,0.667
56,1981–82,Quini ,Barcelona,26,32,0.813
57,1982–83,Poli Rincón,Real Betis,20,30,0.667
58,1983–84,Jorge da Silva,Real Valladolid,17,30,0.567
59,1983–84,Juanito,Real Madrid,17,31,0.548
60,1984–85,Hugo Sánchez,Atlético Madrid,19,33,0.576
61,1985–86,Hugo Sánchez ,Real Madrid,22,33,0.667
62,1986–87,Hugo Sánchez ,Real Madrid,34,41,0.829
63,1987–88,Hugo Sánchez ,Real Madrid,29,36,0.806
64,1988–89,Baltazar,Atlético Madrid,35,36,0.972
